,trade_date,label_ko,fs_date,amount,rcp_no,report_nm,rcept_dt,available_at,stock_code,corp_code,corp_name
82,2023-02-14,부채총계,20220630,47279163828.0,20230214001047.0,반기보고서 (2022.12),20230214.0,2023-02-14,33250.0,125576.0,체시스
83,2023-02-14,자본총계,20220630,28636024773.0,20230214001047.0,반기보고서 (2022.12),20230214.0,2023-02-14,33250.0,125576.0,체시스
84,2023-02-14,유동자산,20221231,66492725844.0,20230214000945.0,반기보고서 (2022.12),20230214.0,2023-02-14,93240.0,441243.0,형지엘리트
85,2023-02-14,비유동자산,20221231,51134905171.0,20230214000945.0,반기보고서 (2022.12),20230214.0,2023-02-14,93240.0,441243.0,형지엘리트
86,2023-02-14,자산총계,20221231,117627631015.0,20230214000945.0,반기보고서 (2022.12),20230214.0,2023-02-14,93240.0,441243.0,형지엘리트
87,2023-02-14,유동부채,20221231,34573932789.0,20230214000945.0,반기보고서 (2022.12),20230214.0,2023-02-14,93240.0,441243.0,형지엘리트
88,2023-02-14,비유동부채,20221231,15696202233.0,20230214000945.0,반기보고서 (2022.12),20230214.0,2023-02-14,93240.0,441243.0,형지엘리트
89,2023-02-14,부채총계,20221231,50270135022.0,20230214000945.0,반기보고서 (2022.12),20230214.0,2023-02-14,93240.0,441243.0,형지엘리트
90,2023-02-14,자본총계,20221231,67357495993.0,20230214000945.0,반기보고서 (2022.12),20230214.0,2023-02-14,93240.0,441243.0,형지엘리트
91,2023-02-14,유동자산,20220630,62186943491.0,20230214000945.0,반기보고서 (2022.12),20230214.0,2023-02-14,93240.0,441243.0,형지엘리트
92,2023-02-14,비유동자산,20220630,47038689533.0,20230214000945.0,반기보고서 (2022.12),20230214.0,2023-02-14,93240.0,441243.0,형지엘리트
93,2023-02-14,자산총계,20220630,109225633024.0,20230214000945.0,반기보고서 (2022.12),20230214.0,2023-02-14,93240.0,441243.0,형지엘리트
94,2023-02-14,유동부채,20220630,25323796690.0,20230214000945.0,반기보고서 (2022.12),20230214.0,2023-02-14,93240.0,441243.0,형지엘리트
95,2023-02-14,비유동부채,20220630,16162880860.0,20230214000945.0,반기보고서 (2022.12),20230214.0,2023-02-14,93240.0,441243.0,형지엘리트
96,2023-02-14,부채총계,20220630,41486677550.0,20230214000945.0,반기보고서 (2022.12),20230214.0,2023-02-14,93240.0,441243.0,형지엘리트
97,2023-02-14,자본총계,20220630,67738955474.0,20230214000945.0,반기보고서 (2022.12),20230214.0,2023-02-14,93240.0,441243.0,형지엘리트
98,2023-02-14,유동자산,20221231,173042566303.0,20230214000252.0,분기보고서 (2022.12),20230214.0,2023-02-14,18500.0,118008.0,동원금속
99,2023-02-14,비유동자산,20221231,297803634581.0,20230214000252.0,분기보고서 (2022.12),20230214.0,2023-02-14,18500.0,118008.0,동원금속
100,2023-02-14,자산총계,20221231,470846200884.0,20230214000252.0,분기보고서 (2022.12),20230214.0,2023-02-14,18500.0,118008.0,동원금속
101,2023-02-14,유동부채,20221231,298257637543.0,20230214000252.0,분기보고서 (2022.12),20230214.0,2023-02-14,18500.0,118008.0,동원금속
102,2023-02-14,비유동부채,20221231,98665755299.0,20230214000252.0,분기보고서 (2022.12),20230214.0,2023-02-14,18500.0,118008.0,동원금속
103,2023-02-14,부채총계,20221231,396923392842.0,20230214000252.0,분기보고서 (2022.12),20230214.0,2023-02-14,18500.0,118008.0,동원금속
104,2023-02-14,자본총계,20221231,73922808042.0,20230214000252.0,분기보고서 (2022.12),20230214.0,2023-02-14,18500.0,118008.0,동원금속
105,2023-02-14,유동자산,20220331,154084068667.0,20230214000252.0,분기보고서 (2022.12),20230214.0,2023-02-14,18500.0,118008.0,동원금속
106,2023-02-14,비유동자산,20220331,302786521612.0,20230214000252.0,분기보고서 (2022.12),20230214.0,2023-02-14,18500.0,118008.0,동원금속
107,2023-02-14,자산총계,20220331,456870590279.0,20230214000252.0,분기보고서 (2022.12),20230214.0,2023-02-14,18500.0,118008.0,동원금속
108,2023-02-14,유동부채,20220331,295469088481.0,20230214000252.0,분기보고서 (2022.12),20230214.0,2023-02-14,18500.0,118008.0,동원금속
109,2023-02-14,비유동부채,20220331,99967251018.0,20230214000252.0,분기보고서 (2022.12),20230214.0,2023-02-14,18500.0,118008.0,동원금속
110,2023-02-14,부채총계,20220331,395436339499.0,20230214000252.0,분기보고서 (2022.12),20230214.0,2023-02-14,18500.0,118008.0,동원금속
111,2023-02-14,자본총계,20220331,61434250780.0,20230214000252.0,분기보고서 (2022.12),20230214.0,2023-02-14,18500.0,118008.0,동원금속
112,2023-02-14,유동자산,20221231,96435579501.0,20230214001235.0,분기보고서 (2022.12),20230214.0,2023-02-14,8110.0,157104.0,대동전자
113,2023-02-14,비유동자산,20221231,135200140583.0,20230214001235.0,분기보고서 (2022.12),20230214.0,2023-02-14,8110.0,157104.0,대동전자
114,2023-02-14,자산총계,20221231,231635720084.0,20230214001235.0,분기보고서 (2022.12),20230214.0,2023-02-14,8110.0,157104.0,대동전자
115,2023-02-14,유동부채,20221231,9135710768.0,20230214001235.0,분기보고서 (2022.12),20230214.0,2023-02-14,8110.0,157104.0,대동전자
116,2023-02-14,비유동부채,20221231,32415744457.0,20230214001235.0,분기보고서 (2022.12),20230214.0,2023-02-14,8110.0,157104.0,대동전자
117,2023-02-14,부채총계,20221231,41551455225.0,20230214001235.0,분기보고서 (2022.12),20230214.0,2023-02-14,8110.0,157104.0,대동전자
118,2023-02-14,자본총계,20221231,190084264859.0,20230214001235.0,분기보고서 (2022.12),20230214.0,2023-02-14,8110.0,157104.0,대동전자
119,2023-02-14,유동자산,20220331,89396251335.0,20230214001235.0,분기보고서 (2022.12),20230214.0,2023-02-14,8110.0,157104.0,대동전자
120,2023-02-14,비유동자산,20220331,121590819389.0,20230214001235.0,분기보고서 (2022.12),20230214.0,2023-02-14,8110.0,157104.0,대동전자
121,2023-02-14,자산총계,20220331,210987070724.0,20230214001235.0,분기보고서 (2022.12),20230214.0,2023-02-14,8110.0,157104.0,대동전자
122,2023-02-14,유동부채,20220331,6404763400.0,20230214001235.0,분기보고서 (2022.12),20230214.0,2023-02-14,8110.0,157104.0,대동전자
123,2023-02-14,비유동부채,20220331,28568824749.0,20230214001235.0,분기보고서 (2022.12),20230214.0,2023-02-14,8110.0,157104.0,대동전자
124,2023-02-14,부채총계,20220331,34973588149.0,20230214001235.0,분기보고서 (2022.12),20230214.0,2023-02-14,8110.0,157104.0,대동전자
125,2023-02-14,자본총계,20220331,176013482575.0,20230214001235.0,분기보고서 (2022.12),20230214.0,2023-02-14,8110.0,157104.0,대동전자
126,2023-02-14,유동자산,20221231,296731323377.0,20230214000971.0,반기보고서 (2022.12),20230214.0,2023-02-14,21820.0,134316.0,세원정공
127,2023-02-14,비유동자산,20221231,351984490523.0,20230214000971.0,반기보고서 (2022.12),20230214.0,2023-02-14,21820.0,134316.0,세원정공
128,2023-02-14,자산총계,20221231,648715813900.0,20230214000971.0,반기보고서 (2022.12),20230214.0,2023-02-14,21820.0,134316.0,세원정공
129,2023-02-14,유동부채,20221231,75278253066.0,20230214000971.0,반기보고서 (2022.12),20230214.0,2023-02-14,21820.0,134316.0,세원정공
130,2023-02-14,비유동부채,20221231,27717338301.0,20230214000971.0,반기보고서 (2022.12),20230214.0,2023-02-14,21820.0,134316.0,세원정공
131,2023-02-14,부채총계,20221231,102995591367.0,20230214000971.0,반기보고서 (2022.12),20230214.0,2023-02-14,21820.0,134316.0,세원정공
132,2023-02-14,자본총계,20221231,545720222533.0,20230214000971.0,반기보고서 (2022.12),20230214.0,2023-02-14,21820.0,134316.0,세원정공
133,2023-02-14,유동자산,20220630,300912871770.0,20230214000971.0,반기보고서 (2022.12),20230214.0,2023-02-14,21820.0,134316.0,세원정공
134,2023-02-14,비유동자산,20220630,327918972537.0,20230214000971.0,반기보고서 (2022.12),20230214.0,2023-02-14,21820.0,134316.0,세원정공
135,2023-02-14,자산총계,20220630,628831844307.0,20230214000971.0,반기보고서 (2022.12),20230214.0,2023-02-14,21820.0,134316.0,세원정공
136,2023-02-14,유동부채,20220630,50087988802.0,20230214000971.0,반기보고서 (2022.12),20230214.0,2023-02-14,21820.0,134316.0,세원정공
137,2023-02-14,비유동부채,20220630,27559419744.0,20230214000971.0,반기보고서 (2022.12),20230214.0,2023-02-14,21820.0,134316.0,세원정공
138,2023-02-14,부채총계,20220630,77647408546.0,20230214000971.0,반기보고서 (2022.12),20230214.0,2023-02-14,21820.0,134316.0,세원정공
139,2023-02-14,자본총계,20220630,551184435761.0,20230214000971.0,반기보고서 (2022.12),20230214.0,2023-02-14,21820.0,134316.0,세원정공
140,2023-02-14,유동자산,20221231,9397448540.0,20230214001308.0,반기보고서 (2022.12),20230214.0,2023-02-14,357430.0,1442966.0,마스턴프리미어리츠
141,2023-02-14,비유동자산,20221231,167338897422.0,20230214001308.0,반기보고서 (2022.12),20230214.0,2023-02-14,357430.0,1442966.0,마스턴프리미어리츠
142,2023-02-14,자산총계,20221231,176736345962.0,20230214001308.0,반기보고서 (2022.12),20230214.0,2023-02-14,357430.0,1442966.0,마스턴프리미어리츠
143,2023-02-14,유동부채,20221231,576352670.0,20230214001308.0,반기보고서 (2022.12),20230214.0,2023-02-14,357430.0,1442966.0,마스턴프리미어리츠
144,2023-02-14,비유동부채,20221231,40536000000.0,20230214001308.0,반기보고서 (2022.12),20230214.0,2023-02-14,357430.0,1442966.0,마스턴프리미어리츠
145,2023-02-14,부채총계,20221231,41112352670.0,20230214001308.0,반기보고서 (2022.12),20230214.0,2023-02-14,357430.0,1442966.0,마스턴프리미어리츠
146,2023-02-14,자본총계,20221231,135623993292.0,20230214001308.0,반기보고서 (2022.12),20230214.0,2023-02-14,357430.0,1442966.0,마스턴프리미어리츠
147,2023-02-14,유동자산,20220930,10337100451.0,20230214001308.0,반기보고서 (2022.12),20230214.0,2023-02-14,357430.0,1442966.0,마스턴프리미어리츠
148,2023-02-14,비유동자산,20220930,170472092760.0,20230214001308.0,반기보고서 (2022.12),20230214.0,2023-02-14,357430.0,1442966.0,마스턴프리미어리츠
149,2023-02-14,자산총계,20220930,180809193211.0,20230214001308.0,반기보고서 (2022.12),20230214.0,2023-02-14,357430.0,1442966.0,마스턴프리미어리츠
150,2023-02-14,유동부채,20220930,489954975.0,20230214001308.0,반기보고서 (2022.12),20230214.0,2023-02-14,357430.0,1442966.0,마스턴프리미어리츠
151,2023-02-14,비유동부채,20220930,43916894293.0,20230214001308.0,반기보고서 (2022.12),20230214.0,2023-02-14,357430.0,1442966.0,마스턴프리미어리츠
152,2023-02-14,부채총계,20220930,44406849268.0,20230214001308.0,반기보고서 (2022.12),20230214.0,2023-02-14,357430.0,1442966.0,마스턴프리미어리츠
153,2023-02-14,자본총계,20220930,136402343943.0,20230214001308.0,반기보고서 (2022.12),20230214.0,2023-02-14,357430.0,1442966.0,마스턴프리미어리츠
154,2023-02-14,유동자산,20221231,87781954434.0,20230214000838.0,분기보고서 (2022.12),20230214.0,2023-02-14,8870.0,168401.0,금비
155,2023-02-14,비유동자산,20221231,223411013269.0,20230214000838.0,분기보고서 (2022.12),20230214.0,2023-02-14,8870.0,168401.0,금비
156,2023-02-14,자산총계,20221231,311192967703.0,20230214000838.0,분기보고서 (2022.12),20230214.0,2023-02-14,8870.0,168401.0,금비
157,2023-02-14,유동부채,20221231,85263323068.0,20230214000838.0,분기보고서 (2022.12),20230214.0,2023-02-14,8870.0,168401.0,금비
158,2023-02-14,비유동부채,20221231,93665193591.0,20230214000838.0,분기보고서 (2022.12),20230214.0,2023-02-14,8870.0,168401.0,금비
159,2023-02-14,부채총계,20221231,178928516659.0,20230214000838.0,분기보고서 (2022.12),20230214.0,2023-02-14,8870.0,168401.0,금비
160,2023-02-14,자본총계,20221231,132264451044.0,20230214000838.0,분기보고서 (2022.12),20230214.0,2023-02-14,8870.0,168401.0,금비
161,2023-02-14,유동자산,20220930,84705727453.0,20230214000838.0,분기보고서 (2022.12),20230214.0,2023-02-14,8870.0,168401.0,금비
162,2023-02-14,비유동자산,20220930,222608166911.0,20230214000838.0,분기보고서 (2022.12),20230214.0,2023-02-14,8870.0,168401.0,금비
163,2023-02-14,자산총계,20220930,307313894364.0,20230214000838.0,분기보고서 (2022.12),20230214.0,2023-02-14,8870.0,168401.0,금비
164,2023-02-14,유동부채,20220930,79004754624.0,20230214000838.0,분기보고서 (2022.12),20230214.0,2023-02-14,8870.0,168401.0,금비
165,2023-02-14,비유동부채,20220930,94719621375.0,20230214000838.0,분기보고서 (2022.12),20230214.0,2023-02-14,8870.0,168401.0,금비
166,2023-02-14,부채총계,20220930,173724375999.0,20230214000838.0,분기보고서 (2022.12),20230214.0,2023-02-14,8870.0,168401.0,금비
167,2023-02-14,자본총계,20220930,133589518365.0,20230214000838.0,분기보고서 (2022.12),20230214.0,2023-02-14,8870.0,168401.0,금비
168,2023-02-15,,,,,,,,,,
169,2023-02-16,,,,,,,,,,
170,2023-02-17,,,,,,,,,,
171,2023-02-18,,,,,,,,,,
172,2023-02-19,,,,,,,,,,
173,2023-02-20,,,,,,,,,,
174,2023-02-21,,,,,,,,,,
175,2023-02-22,,,,,,,,,,
176,2023-02-23,,,,,,,,,,
177,2023-02-24,,,,,,,,,,
178,2023-02-25,,,,,,,,,,
179,2023-02-26,,,,,,,,,,
180,2023-02-27,,,,,,,,,,
181,2023-02-28,유동자산,20200630,249177282038.0,20230228006838.0,[기재정정]사업보고서 (2020.06),20230228.0,2023-02-28,21820.0,134316.0,세원정공
182,2023-02-28,비유동자산,20200630,363626096018.0,20230228006838.0,[기재정정]사업보고서 (2020.06),20230228.0,2023-02-28,21820.0,134316.0,세원정공
183,2023-02-28,자산총계,20200630,612803378056.0,20230228006838.0,[기재정정]사업보고서 (2020.06),20230228.0,2023-02-28,21820.0,134316.0,세원정공
184,2023-02-28,유동부채,20200630,71204411886.0,20230228006838.0,[기재정정]사업보고서 (2020.06),20230228.0,2023-02-28,21820.0,134316.0,세원정공
185,2023-02-28,비유동부채,20200630,23636728113.0,20230228006838.0,[기재정정]사업보고서 (2020.06),20230228.0,2023-02-28,21820.0,134316.0,세원정공
186,2023-02-28,부채총계,20200630,94841139999.0,20230228006838.0,[기재정정]사업보고서 (2020.06),20230228.0,2023-02-28,21820.0,134316.0,세원정공
187,2023-02-28,자본총계,20200630,517962238057.0,20230228006838.0,[기재정정]사업보고서 (2020.06),20230228.0,2023-02-28,21820.0,134316.0,세원정공
188,2023-02-28,유동자산,20190630,365120525778.0,20230228006838.0,[기재정정]사업보고서 (2020.06),20230228.0,2023-02-28,21820.0,134316.0,세원정공
189,2023-02-28,비유동자산,20190630,254368770674.0,20230228006838.0,[기재정정]사업보고서 (2020.06),20230228.0,2023-02-28,21820.0,134316.0,세원정공
190,2023-02-28,자산총계,20190630,619489296452.0,20230228006838.0,[기재정정]사업보고서 (2020.06),20230228.0,2023-02-28,21820.0,134316.0,세원정공
191,2023-02-28,유동부채,20190630,84526928717.0,20230228006838.0,[기재정정]사업보고서 (2020.06),20230228.0,2023-02-28,21820.0,134316.0,세원정공
192,2023-02-28,비유동부채,20190630,23123152710.0,20230228006838.0,[기재정정]사업보고서 (2020.06),20230228.0,2023-02-28,21820.0,134316.0,세원정공
193,2023-02-28,부채총계,20190630,107650081427.0,20230228006838.0,[기재정정]사업보고서 (2020.06),20230228.0,2023-02-28,21820.0,134316.0,세원정공
194,2023-02-28,자본총계,20190630,511839215025.0,20230228006838.0,[기재정정]사업보고서 (2020.06),20230228.0,2023-02-28,21820.0,134316.0,세원정공
195,2023-02-28,유동자산,20180630,392746512653.0,20230228006838.0,[기재정정]사업보고서 (2020.06),20230228.0,2023-02-28,21820.0,134316.0,세원정공
196,2023-02-28,비유동자산,20180630,271207154975.0,20230228006838.0,[기재정정]사업보고서 (2020.06),20230228.0,2023-02-28,21820.0,134316.0,세원정공
197,2023-02-28,자산총계,20180630,663953667628.0,20230228006838.0,[기재정정]사업보고서 (2020.06),20230228.0,2023-02-28,21820.0,134316.0,세원정공
198,2023-02-28,유동부채,20180630,104472736943.0,20230228006838.0,[기재정정]사업보고서 (2020.06),20230228.0,2023-02-28,21820.0,134316.0,세원정공
199,2023-02-28,비유동부채,20180630,21162145264.0,20230228006838.0,[기재정정]사업보고서 (2020.06),20230228.0,2023-02-28,21820.0,134316.0,세원정공
200,2023-02-28,부채총계,20180630,125634882207.0,20230228006838.0,[기재정정]사업보고서 (2020.06),20230228.0,2023-02-28,21820.0,134316.0,세원정공
201,2023-02-28,자본총계,20180630,538318785421.0,20230228006838.0,[기재정정]사업보고서 (2020.06),20230228.0,2023-02-28,21820.0,134316.0,세원정공
202,2023-02-28,유동자산,20190630,365120525778.0,20230228006816.0,[기재정정]사업보고서 (2019.06),20230228.0,2023-02-28,21820.0,134316.0,세원정공
203,2023-02-28,비유동자산,20190630,254368770674.0,20230228006816.0,[기재정정]사업보고서 (2019.06),20230228.0,2023-02-28,21820.0,134316.0,세원정공
204,2023-02-28,자산총계,20190630,619489296452.0,20230228006816.0,[기재정정]사업보고서 (2019.06),20230228.0,2023-02-28,21820.0,134316.0,세원정공
205,2023-02-28,유동부채,20190630,84526928717.0,20230228006816.0,[기재정정]사업보고서 (2019.06),20230228.0,2023-02-28,21820.0,134316.0,세원정공
206,2023-02-28,비유동부채,20190630,23123152710.0,20230228006816.0,[기재정정]사업보고서 (2019.06),20230228.0,2023-02-28,21820.0,134316.0,세원정공
207,2023-02-28,부채총계,20190630,107650081427.0,20230228006816.0,[기재정정]사업보고서 (2019.06),20230228.0,2023-02-28,21820.0,134316.0,세원정공
208,2023-02-28,자본총계,20190630,511839215025.0,20230228006816.0,[기재정정]사업보고서 (2019.06),20230228.0,2023-02-28,21820.0,134316.0,세원정공
209,2023-02-28,유동자산,20180630,392746512653.0,20230228006816.0,[기재정정]사업보고서 (2019.06),20230228.0,2023-02-28,21820.0,134316.0,세원정공
210,2023-02-28,비유동자산,20180630,271207154975.0,20230228006816.0,[기재정정]사업보고서 (2019.06),20230228.0,2023-02-28,21820.0,134316.0,세원정공
211,2023-02-28,자산총계,20180630,663953667628.0,20230228006816.0,[기재정정]사업보고서 (2019.06),20230228.0,2023-02-28,21820.0,134316.0,세원정공
212,2023-02-28,유동부채,20180630,104472736943.0,20230228006816.0,[기재정정]사업보고서 (2019.06),20230228.0,2023-02-28,21820.0,134316.0,세원정공
213,2023-02-28,비유동부채,20180630,21162145264.0,20230228006816.0,[기재정정]사업보고서 (2019.06),20230228.0,2023-02-28,21820.0,134316.0,세원정공
214,2023-02-28,부채총계,20180630,125634882207.0,20230228006816.0,[기재정정]사업보고서 (2019.06),20230228.0,2023-02-28,21820.0,134316.0,세원정공
215,2023-02-28,자본총계,20180630,538318785421.0,20230228006816.0,[기재정정]사업보고서 (2019.06),20230228.0,2023-02-28,21820.0,134316.0,세원정공
216,2023-02-28,유동자산,20170630,348125904521.0,20230228006816.0,[기재정정]사업보고서 (2019.06),20230228.0,2023-02-28,21820.0,134316.0,세원정공
217,2023-02-28,비유동자산,20170630,286430429016.0,20230228006816.0,[기재정정]사업보고서 (2019.06),20230228.0,2023-02-28,21820.0,134316.0,세원정공
218,2023-02-28,자산총계,20170630,634556333537.0,20230228006816.0,[기재정정]사업보고서 (2019.06),20230228.0,2023-02-28,21820.0,134316.0,세원정공
219,2023-02-28,유동부채,20170630,62199984521.0,20230228006816.0,[기재정정]사업보고서 (2019.06),20230228.0,2023-02-28,21820.0,134316.0,세원정공
220,2023-02-28,비유동부채,20170630,20517646921.0,20230228006816.0,[기재정정]사업보고서 (2019.06),20230228.0,2023-02-28,21820.0,134316.0,세원정공
221,2023-02-28,부채총계,20170630,82717631442.0,20230228006816.0,[기재정정]사업보고서 (2019.06),20230228.0,2023-02-28,21820.0,134316.0,세원정공
